date,state,in_lockdown,Community Sport,Schools,Gyms,Place worship,Clubs,Dine in,Indoor gathering,Outdoor gathering
2/17/2020,Victoria,0,0,0,0,0,0,0,0,0
2/17/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/18/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/18/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/18/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/18/2020,Queensland,0,0,0,0,0,0,0,0,0
2/18/2020,South Australia,0,0,0,0,0,0,0,0,0
2/18/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/18/2020,Victoria,0,0,0,0,0,0,0,0,0
2/18/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/19/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/19/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/19/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/19/2020,Queensland,0,0,0,0,0,0,0,0,0
2/19/2020,South Australia,0,0,0,0,0,0,0,0,0
2/19/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/19/2020,Victoria,0,0,0,0,0,0,0,0,0
2/19/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/20/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/20/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/20/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/20/2020,Queensland,0,0,0,0,0,0,0,0,0
2/20/2020,South Australia,0,0,0,0,0,0,0,0,0
2/20/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/20/2020,Victoria,0,0,0,0,0,0,0,0,0
2/20/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/21/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/21/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/21/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/21/2020,Queensland,0,0,0,0,0,0,0,0,0
2/21/2020,South Australia,0,0,0,0,0,0,0,0,0
2/21/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/21/2020,Victoria,0,0,0,0,0,0,0,0,0
2/21/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/22/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/22/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/22/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/22/2020,Queensland,0,0,0,0,0,0,0,0,0
2/22/2020,South Australia,0,0,0,0,0,0,0,0,0
2/22/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/22/2020,Victoria,0,0,0,0,0,0,0,0,0
2/22/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/23/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/23/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/23/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/23/2020,Queensland,0,0,0,0,0,0,0,0,0
2/23/2020,South Australia,0,0,0,0,0,0,0,0,0
2/23/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/23/2020,Victoria,0,0,0,0,0,0,0,0,0
2/23/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/24/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/24/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/24/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/24/2020,Queensland,0,0,0,0,0,0,0,0,0
2/24/2020,South Australia,0,0,0,0,0,0,0,0,0
2/24/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/24/2020,Victoria,0,0,0,0,0,0,0,0,0
2/24/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/25/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/25/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/25/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/25/2020,Queensland,0,0,0,0,0,0,0,0,0
2/25/2020,South Australia,0,0,0,0,0,0,0,0,0
2/25/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/25/2020,Victoria,0,0,0,0,0,0,0,0,0
2/25/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/26/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/26/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/26/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/26/2020,Queensland,0,0,0,0,0,0,0,0,0
2/26/2020,South Australia,0,0,0,0,0,0,0,0,0
2/26/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/26/2020,Victoria,0,0,0,0,0,0,0,0,0
2/26/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/27/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/27/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/27/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/27/2020,Queensland,0,0,0,0,0,0,0,0,0
2/27/2020,South Australia,0,0,0,0,0,0,0,0,0
2/27/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/27/2020,Victoria,0,0,0,0,0,0,0,0,0
2/27/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/28/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/28/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/28/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/28/2020,Queensland,0,0,0,0,0,0,0,0,0
2/28/2020,South Australia,0,0,0,0,0,0,0,0,0
2/28/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/28/2020,Victoria,0,0,0,0,0,0,0,0,0
2/28/2020,Western Australia,0,0,0,0,0,0,0,0,0
2/29/2020,Australian Capital Territory,0,0,0,0,0,0,0,0,0
2/29/2020,New South Wales,0,0,0,0,0,0,0,0,0
2/29/2020,Northern Territory,0,0,0,0,0,0,0,0,0
2/29/2020,Queensland,0,0,0,0,0,0,0,0,0
2/29/2020,South Australia,0,0,0,0,0,0,0,0,0
2/29/2020,Tasmania,0,0,0,0,0,0,0,0,0
2/29/2020,Victoria,0,0,0,0,0,0,0,0,0
2/29/2020,Western Australia,0,0,0,0,0,0,0,0,0
03-01-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-01-20,New South Wales,0,0,0,0,0,0,0,0,0
03-01-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-01-20,Queensland,0,0,0,0,0,0,0,0,0
03-01-20,South Australia,0,0,0,0,0,0,0,0,0
03-01-20,Tasmania,0,0,0,0,0,0,0,0,0
03-01-20,Victoria,0,0,0,0,0,0,0,0,0
03-01-20,Western Australia,0,0,0,0,0,0,0,0,0
03-02-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-02-20,New South Wales,0,0,0,0,0,0,0,0,0
03-02-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-02-20,Queensland,0,0,0,0,0,0,0,0,0
03-02-20,South Australia,0,0,0,0,0,0,0,0,0
03-02-20,Tasmania,0,0,0,0,0,0,0,0,0
03-02-20,Victoria,0,0,0,0,0,0,0,0,0
03-02-20,Western Australia,0,0,0,0,0,0,0,0,0
03-03-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-03-20,New South Wales,0,0,0,0,0,0,0,0,0
03-03-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-03-20,Queensland,0,0,0,0,0,0,0,0,0
03-03-20,South Australia,0,0,0,0,0,0,0,0,0
03-03-20,Tasmania,0,0,0,0,0,0,0,0,0
03-03-20,Victoria,0,0,0,0,0,0,0,0,0
03-03-20,Western Australia,0,0,0,0,0,0,0,0,0
03-04-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-04-20,New South Wales,0,0,0,0,0,0,0,0,0
03-04-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-04-20,Queensland,0,0,0,0,0,0,0,0,0
03-04-20,South Australia,0,0,0,0,0,0,0,0,0
03-04-20,Tasmania,0,0,0,0,0,0,0,0,0
03-04-20,Victoria,0,0,0,0,0,0,0,0,0
03-04-20,Western Australia,0,0,0,0,0,0,0,0,0
03-05-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-05-20,New South Wales,0,0,0,0,0,0,0,0,0
03-05-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-05-20,Queensland,0,0,0,0,0,0,0,0,0
03-05-20,South Australia,0,0,0,0,0,0,0,0,0
03-05-20,Tasmania,0,0,0,0,0,0,0,0,0
03-05-20,Victoria,0,0,0,0,0,0,0,0,0
03-05-20,Western Australia,0,0,0,0,0,0,0,0,0
03-06-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-06-20,New South Wales,0,0,0,0,0,0,0,0,0
03-06-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-06-20,Queensland,0,0,0,0,0,0,0,0,0
03-06-20,South Australia,0,0,0,0,0,0,0,0,0
03-06-20,Tasmania,0,0,0,0,0,0,0,0,0
03-06-20,Victoria,0,0,0,0,0,0,0,0,0
03-06-20,Western Australia,0,0,0,0,0,0,0,0,0
03-07-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-07-20,New South Wales,0,0,0,0,0,0,0,0,0
03-07-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-07-20,Queensland,0,0,0,0,0,0,0,0,0
03-07-20,South Australia,0,0,0,0,0,0,0,0,0
03-07-20,Tasmania,0,0,0,0,0,0,0,0,0
03-07-20,Victoria,0,0,0,0,0,0,0,0,0
03-07-20,Western Australia,0,0,0,0,0,0,0,0,0
03-08-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-08-20,New South Wales,0,0,0,0,0,0,0,0,0
03-08-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-08-20,Queensland,0,0,0,0,0,0,0,0,0
03-08-20,South Australia,0,0,0,0,0,0,0,0,0
03-08-20,Tasmania,0,0,0,0,0,0,0,0,0
03-08-20,Victoria,0,0,0,0,0,0,0,0,0
03-08-20,Western Australia,0,0,0,0,0,0,0,0,0
03-09-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-09-20,New South Wales,0,0,0,0,0,0,0,0,0
03-09-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-09-20,Queensland,0,0,0,0,0,0,0,0,0
03-09-20,South Australia,0,0,0,0,0,0,0,0,0
03-09-20,Tasmania,0,0,0,0,0,0,0,0,0
03-09-20,Victoria,0,0,0,0,0,0,0,0,0
03-09-20,Western Australia,0,0,0,0,0,0,0,0,0
03-10-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-10-20,New South Wales,0,0,0,0,0,0,0,0,0
03-10-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-10-20,Queensland,0,0,0,0,0,0,0,0,0
03-10-20,South Australia,0,0,0,0,0,0,0,0,0
03-10-20,Tasmania,0,0,0,0,0,0,0,0,0
03-10-20,Victoria,0,0,0,0,0,0,0,0,0
03-10-20,Western Australia,0,0,0,0,0,0,0,0,0
03-11-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-11-20,New South Wales,0,0,0,0,0,0,0,0,0
03-11-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-11-20,Queensland,0,0,0,0,0,0,0,0,0
03-11-20,South Australia,0,0,0,0,0,0,0,0,0
03-11-20,Tasmania,0,0,0,0,0,0,0,0,0
03-11-20,Victoria,0,0,0,0,0,0,0,0,0
03-11-20,Western Australia,0,0,0,0,0,0,0,0,0
03-12-20,Australian Capital Territory,0,0,0,0,0,0,0,0,0
03-12-20,New South Wales,0,0,0,0,0,0,0,0,0
03-12-20,Northern Territory,0,0,0,0,0,0,0,0,0
03-12-20,Queensland,0,0,0,0,0,0,0,0,0
03-12-20,South Australia,0,0,0,0,0,0,0,0,0
03-12-20,Tasmania,0,0,0,0,0,0,0,0,0
03-12-20,Victoria,0,0,0,0,0,0,0,0,0
03-12-20,Western Australia,0,0,0,0,0,0,0,0,0
3/13/2020,Australian Capital Territory,1,1,0,1,1,1,1,1,1
3/13/2020,New South Wales,0,0,0,0,0,0,0,0,0
3/13/2020,Northern Territory,0,0,0,0,0,0,0,0,0
3/13/2020,Queensland,0,0,0,0,0,0,0,0,0
3/13/2020,South Australia,0,0,0,0,0,0,0,0,0
3/13/2020,Tasmania,0,0,0,0,0,0,0,0,0
3/13/2020,Victoria,1,0,0,0,0,0,0,0,0
3/13/2020,Western Australia,0,0,0,0,0,0,0,0,0
3/14/2020,Australian Capital Territory,1,1,0,1,1,1,1,1,1
3/14/2020,New South Wales,0,0,0,0,0,0,0,0,0
3/14/2020,Northern Territory,0,0,0,0,0,0,0,0,0
3/14/2020,Queensland,0,0,0,0,0,0,0,0,0
3/14/2020,South Australia,0,0,0,0,0,0,0,0,0
3/14/2020,Tasmania,0,0,0,0,0,0,0,0,0
3/14/2020,Victoria,1,0,0,0,0,0,0,0,0
3/14/2020,Western Australia,0,0,0,0,0,0,0,0,0
3/15/2020,Australian Capital Territory,1,1,0,1,1,1,1,1,1
3/15/2020,New South Wales,0,0,0,0,0,0,0,0,0
3/15/2020,Northern Territory,0,0,0,0,0,0,0,0,0
3/15/2020,Queensland,0,0,0,0,0,0,0,0,0
3/15/2020,South Australia,0,0,0,0,0,0,0,0,0
3/15/2020,Tasmania,0,0,0,0,0,0,0,0,0
3/15/2020,Victoria,1,0,0,0,0,0,0,0,0
3/15/2020,Western Australia,0,0,0,0,0,0,0,0,0
3/16/2020,Australian Capital Territory,1,1,0,1,1,1,1,1,1
3/16/2020,New South Wales,0,0,0,0,0,0,0,0,0
3/16/2020,Northern Territory,0,0,0,0,0,0,0,0,0
3/16/2020,Queensland,0,0,0,0,0,0,0,0,0
3/16/2020,South Australia,0,0,0,0,0,0,0,0,0
3/16/2020,Tasmania,0,0,0,0,0,0,0,0,0
3/16/2020,Victoria,1,0,0,0,0,0,0,0,0
3/16/2020,Western Australia,0,0,0,0,0,0,0,0,0
3/17/2020,Australian Capital Territory,1,1,0,1,1,1,1,1,1
3/17/2020,New South Wales,0,0,0,0,0,0,0,0,0
3/17/2020,Northern Territory,0,0,0,0,0,0,0,0,0
3/17/2020,Queensland,0,0,0,0,0,0,0,0,0
3/17/2020,South Australia,0,0,0,0,0,0,0,0,0
3/17/2020,Tasmania,0,0,0,0,0,0,0,0,0
3/17/2020,Victoria,1,0,0,0,0,0,0,0,0
3/17/2020,Western Australia,0,0,0,0,0,0,0,0,0
3/18/2020,Australian Capital Territory,1,1,0,1,1,1,1,1,1
3/18/2020,New South Wales,0,0,0,0,0,0,0,0,0
3/18/2020,Northern Territory,0,0,0,0,0,0,0,0,0
3/18/2020,Queensland,0,0,0,0,0,0,0,0,0
3/18/2020,South Australia,0,0,0,0,0,0,0,0,0
3/18/2020,Tasmania,0,0,0,0,0,0,0,0,0
3/18/2020,Victoria,1,0,0,0,0,0,0,0,0
3/18/2020,Western Australia,0,0,0,0,0,0,0,0,0
3/19/2020,Australian Capital Territory,1,1,0,1,1,1,1,1,1
3/19/2020,New South Wales,0,0,0,0,0,0,0,0,0
3/19/2020,Northern Territory,0,0,0,0,0,0,0,0,0
3/19/2020,Queensland,0,0,0,0,0,0,0,0,0
3/19/2020,South Australia,0,0,0,0,0,0,0,0,0
3/19/2020,Tasmania,0,0,0,0,0,0,0,0,0
3/19/2020,Victoria,1,1,0,1,1,1,1,0,0
3/19/2020,Western Australia,0,0,0,0,0,0,0,0,0
3/20/2020,Australian Capital Territory,1,1,0,1,1,1,1,1,1
3/20/2020,New South Wales,0,0,0,0,0,0,0,0,0
3/20/2020,Northern Territory,0,0,0,0,0,0,0,0,0
3/20/2020,Queensland,0,0,0,0,0,0,0,0,0
3/20/2020,South Australia,0,0,0,0,0,0,0,0,0
3/20/2020,Tasmania,0,0,0,0,0,0,0,0,0
3/20/2020,Victoria,1,1,0,1,1,1,1,0,0
3/20/2020,Western Australia,0,0,0,0,0,0,0,0,0
